Price,Daily Returns,Volatility,Hidden States,Detected Regime
Ticker,,,,
Datetime,,,,
2023-12-08 18:30:00+00:00,0.2898602490657703,-0.37116682409633667,2,2
2023-12-08 19:30:00+00:00,0.2684651964165254,-0.33228445072328905,2,2
2023-12-08 20:30:00+00:00,-0.21394839102058794,-0.3968089428105451,2,2
2023-12-11 14:30:00+00:00,-0.02673630614664523,-0.40921889983824644,2,2
2023-12-11 15:30:00+00:00,0.1456485889293047,-0.4022859355277691,2,2
2023-12-11 16:30:00+00:00,0.08808416338761688,-0.40770057292157774,2,2
2023-12-11 17:30:00+00:00,0.5078111642221167,-0.31311884443777555,2,2
2023-12-11 18:30:00+00:00,0.13436350846211512,-0.3204236485327559,2,2
2023-12-11 19:30:00+00:00,-0.23445980097124886,-0.3999159954441529,2,2
2023-12-11 20:30:00+00:00,0.2955113197561147,-0.36786583124492234,2,2
